Attribute,Requirements (Functional / Non-functional / Business),Component,Class,Functions,Start Date of Code,Last Date Updated Code,End Date of functionality,Update Made,Reason for Update,Team Member(s) Designing / Updating Code,Testing - Ticket_ids raised
Description,Section 4.1 of SRS,,,,,,,,,,,
,REQ-1,Web Client (Proctor Module),TakeExam - Event Monitor,handleVisibilityChange(),"Jan 30, 2026","Feb 10, 2026","Feb 16, 2026",Implemented,Detects when browser tab is hidden using HTML5 Page Visibility API (document.hidden). Replaced basic window.onblur.,Atharv Dhuvad,TC-032
,,,,handleFullscreenChange(),,"Feb 10, 2026","Feb 16, 2026",Implemented,Logs a fullscreen_exit event when student leaves enforced fullscreen mode.,Atharv Dhuvad,TC-032
,,,,removeMonitoring,,"Feb 11, 2026","Feb 16, 2026",Implemented,Tears down proctoring: clears webcam interval reference and removes all global event listeners on session exit.,Atharv Dhuvad,TC-051
,,,,setupMonitoring(),,"Feb 12, 2026","Feb 16, 2026",Implemented,Registers both Page Visibility and window blur/focus listeners in a single setup call.,Atharv Dhuvad,TC-032
,REQ-2,Web Client (Proctor Module),TakeExam - StreamManager,startWebcam(),"Jan 31, 2026","Feb 5, 2026",,Partially Implemented,Starts camera via getUserMedia with constrained resolution (320x240) to limit memory usage.,Atharv Dhuvad,"TC-047, TC-048, TC-051"
,,,,captureAndUploadScreenshot(),,"Feb 5, 2026",,Partially Implemented,Captures current webcam frame as a compressed Base64 JPEG and sends it to the server for proctoring evidence.,Atharv Dhuvad,TC-047
,,,,captureSegment(),"Feb 14, 2026","Feb 15, 2026",Implemented,Records 5-second rolling video buffer using MediaRecorder API. Segments are stored as Blobs on the client and overwritten unless an anomaly is detected — no footage is transmitted to the server.,Atharv Dhuvad,TC-051
,REQ-3,Proctoring Service (Backend),ProctoringSession,pre(save) hook — recalculates summary.totalEvents + highSeverityEvents + totalTabSwitches + totalFullscreenExits,"Feb 13, 2026","Feb 23, 2026","Feb 26, 2026",Implemented,Mongoose pre-save hook automatically recalculates all violation summary counts on every document save.,Pranav Nair,"TC-009, TC-010, TC-011, TC-012"
,,Submission Service (Backend),submissions.js (router),POST /submissions — auto-flags submission when tabSwitchCount > 5 or fullscreenExitCount > 3,"Feb 13, 2026","Feb 23, 2026","Feb 26, 2026",Implemented,Automatically flags submissions that exceed violation thresholds so teachers do not need to flag manually.,Pranav Nair,"TC-022, TC-023, TC-024, TC-025, TC-026"
