Test cases,Team Member(s) Testing Code,Complete / Ongoing / Abandoned,Ticket_ids raised,Date of Ticket Generation,Date of Ticket Resolution,module tested,result(success/failure),description of result,Risk Management,Test Type
should create a user with all required fields,Ridham Shah,Complete,TC-001,2026-03-05,2026-03-05,User Model,Success,User created successfully with all required fields stored correctly,,Unit
should apply default role as student,Atharv Dhuvad,Complete,TC-002,2026-03-07,2026-03-07,User Model,Success,Default role correctly set to student when no role is specified,,Unit
should reject an invalid role via enum validation,Shrey Shah,Complete,TC-003,2026-03-06,2026-03-06,User Model,Success,ValidationError thrown as expected for invalid role enum value,,Unit
should fail when firebaseUid is missing,Pranav Nair,Complete,TC-004,2026-03-09,2026-03-09,User Model,Success,ValidationError correctly raised for missing required field,,Unit
should reject duplicate email,Ridham Shah,Complete,TC-005,2026-03-10,2026-03-12,User Model,Failure,Intermittent failure - duplicate key error not consistently thrown due to index creation timing,Mitigated by adding ensureIndexes() call in test setup to guarantee index build completion before running constraint tests; added retry logic for CI pipeline,Unit
should create an exam with all required fields,Pranav Nair,Complete,TC-006,2026-03-05,2026-03-05,Exam Model,Success,Exam document created with all fields correctly stored and referenced,,Unit
should calculate total points from questions,Shrey Shah,Complete,TC-007,2026-03-13,2026-03-13,Exam Model,Success,Virtual totalPoints correctly sums individual question points (10+20+30=60),,Unit
should fail without title,Atharv Dhuvad,Complete,TC-008,2026-03-07,2026-03-07,Exam Model,Success,ValidationError raised for missing required title field,,Unit
should apply correct defaults,Ridham Shah,Complete,TC-009,2026-03-08,2026-03-08,Proctoring Model,Success,"All defaults applied: status=active, trustScore=100, faceDetectionEnabled=true",,Unit
should reject invalid session status,Pranav Nair,Complete,TC-010,2026-03-10,2026-03-10,Proctoring Model,Success,ValidationError thrown for status=invalid as expected,,Unit
should calculate totalEvents from events array,Atharv Dhuvad,Complete,TC-011,2026-03-15,2026-03-17,Proctoring Model,Failure,Summary calculation returned stale count when events were modified after initial save without triggering pre-save hook,Implemented re-calculation on every save instead of only on new documents; added regression test for event modification after initial save; updated pre-save hook to always recalculate summary,Unit
should fail without submissionId,Ridham Shah,Complete,TC-012,2026-03-09,2026-03-09,Proctoring Model,Success,ValidationError raised for missing required submissionId field,,Unit
should create notification with required fields,Pranav Nair,Complete,TC-013,2026-03-05,2026-03-05,Supporting Models (Notification),Success,"Notification created with all fields correctly stored; defaults isRead=false, priority=medium verified",,Unit
should create report with required fields,Shrey Shah,Complete,TC-014,2026-03-14,2026-03-16,Supporting Models (Report),Failure,Date serialization issue caused startDate to shift by one day due to UTC timezone offset conversion,Fixed by explicitly setting timezone-aware ISO dates in test fixtures; added UTC normalization in Report schema pre-save hook; updated documentation on date handling conventions,Unit
should create LoginAttempt with required email,Pranav Nair,Complete,TC-015,2026-03-09,2026-03-09,Supporting Models (LoginAttempt),Success,"LoginAttempt created with email stored correctly, default success=false applied",,Unit
should count registration attempts within time window,Atharv Dhuvad,Complete,TC-016,2026-03-16,2026-03-16,Supporting Models (RegistrationAttempt),Success,Count query correctly returns 3 attempts within the time window,,Unit
should generate a 40-character hex string,Ridham Shah,Complete,TC-017,2026-03-06,2026-03-06,Business Logic (2FA),Success,Generated secret matches hex pattern and has length 40,,Unit
should accept valid roles,Shrey Shah,Complete,TC-018,2026-03-10,2026-03-10,Business Logic (Role Validation),Success,All valid roles returned unchanged by validateRole function,,Unit
should calculate full score for all correct answers,Atharv Dhuvad,Complete,TC-019,2026-03-12,2026-03-12,Business Logic (Score Calculation),Success,Full score of 30 correctly calculated from three correct answers (10+5+15),,Unit
should deduct 10 for high severity trust score penalty,Ridham Shah,Complete,TC-020,2026-03-15,2026-03-15,Business Logic (Trust Score),Success,Trust score correctly reduced from 100 to 90 for high severity,,Unit
should be within grace period if within 5 minutes after end,Shrey Shah,Complete,TC-021,2026-03-17,2026-03-17,Business Logic (Grace Period),Success,isWithinGracePeriod returns true for time 4 minutes after end time,,Unit
should create a submission with required fields,Atharv Dhuvad,Complete,TC-022,2026-03-05,2026-03-05,Submission Model,Success,Submission created with correct examId and studentId references,,Unit
should apply correct default values,Pranav Nair,Complete,TC-023,2026-03-07,2026-03-07,Submission Model,Success,"All defaults applied: score=0, status=in_progress, proctoringScore=100, isFlagged=false",,Unit
should calculate percentage correctly on save,Ridham Shah,Complete,TC-024,2026-03-11,2026-03-13,Submission Model,Failure,Percentage calculated as NaN when maxScore was undefined instead of defaulting to 0,Added null/undefined check in pre-save hook to default maxScore to 0 before division; added schema-level validation to ensure maxScore is a valid number; created edge-case test suite for percentage calculation,Unit
should handle 100 percent score,Shrey Shah,Complete,TC-025,2026-03-14,2026-03-14,Submission Model,Success,"Percentage correctly calculated as 100 when score=50, maxScore=50",,Unit
should fail without examId,Atharv Dhuvad,Complete,TC-026,2026-03-09,2026-03-09,Submission Model,Success,ValidationError raised for missing required examId field,,Unit
should handle full exam lifecycle,Ridham Shah,Complete,TC-027,2026-03-06,2026-03-06,Integration Tests,Success,"Full lifecycle completed: exam totalPoints=20, submission percentage=75%",,System
should track trust score degradation through events,Shrey Shah,Complete,TC-028,2026-03-10,2026-03-12,Integration Tests,Failure,Test failed due to MongoDB connection pool exhaustion when creating multiple related documents in rapid succession,Increased connection pool size from 5 to 10 in test config; implemented sequential document creation with explicit await to prevent connection stampede; added connection pool monitoring to CI logs,System
should track failed login attempts and lock account,Atharv Dhuvad,Complete,TC-029,2026-03-13,2026-03-13,Integration Tests,Success,Account correctly locked after 5 failures and properly reset after successful login,,System
should create notifications for flagged submissions,Pranav Nair,Complete,TC-030,2026-03-15,2026-03-15,Integration Tests,Success,Separate notifications created for student (exam_submitted) and teacher (flagged_submission),,System
should support multiple students submitting same exam,Ridham Shah,Complete,TC-031,2026-03-17,2026-03-17,Integration Tests,Success,"All 5 submissions created with correct percentages (0%, 20%, 40%, 60%, 80%)",,System
should return 401 when no authorization header,Shrey Shah,Complete,TC-032,2026-03-05,2026-03-05,Middleware (Auth),Success,"Middleware returns 401 with ""No token provided"" message and next() is not called",,Unit
should return 403 when token verification fails,Atharv Dhuvad,Complete,TC-033,2026-03-08,2026-03-10,Middleware (Auth),Failure,Mock function not properly reset between test runs causing false positive on token rejection,Fixed by moving mockVerifyIdToken.mockReset() to beforeEach block; added explicit mock state verification before each assertion; documented mock lifecycle best practices for the team,Unit
should call next and set req.user on valid token,Pranav Nair,Complete,TC-034,2026-03-12,2026-03-12,Middleware (Auth),Success,req.user correctly populated with decoded token and next() called without error,,Unit
should export apiLimiter as a function,Shrey Shah,Complete,TC-035,2026-03-16,2026-03-16,Middleware (Rate Limiter),Success,apiLimiter exported and confirmed as typeof function,,Unit
